# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1190002N15Rik	peak_3590 (+145153)
Rassf8	peak_3148 (+9317)
Raver2	peak_2574 (-14366)
Rb1cc1	peak_8 (-63015)
Rbfox2	peak_1356 (-7340)
Rbm15	peak_2272 (-9516)
Rbm20	peak_1862 (+74448)
Rbm47	peak_2774 (+33308)
Rcan1	peak_1536 (+42448)
Rcan2	peak_1616 (+23048)
Rcor1	peak_864 (-11005)
Rd3l	peak_868 (-32105), peak_867 (-17427)
Reep3	peak_453 (+86596), peak_452 (+514633), peak_451 (+628052), peak_450 (+675435), peak_449 (+830014)
Reln	peak_2707 (-20079)
Rem2	peak_1162 (+16700)
Retnla	peak_1447 (+13200)
Retnlg	peak_1448 (+6003)
Rfpl4b	peak_405 (-25071), peak_404 (+557169), peak_403 (+596965)
Rfx6	peak_427 (+66200)
Rfx8	peak_91 (-7286)
Rfxap	peak_2182 (+21745)
Rgma	peak_3206 (-367817), peak_3207 (-342518)
Rgmb	peak_1561 (-584413), peak_1560 (-568399), peak_1559 (-304580)
Rgs1	peak_290 (-71863)
Rgs17	peak_355 (-40981)
Rgs18	peak_291 (-480062)
Rgs2	peak_289 (+32636)
Rgs3	peak_2472 (-25598), peak_2473 (+99076)
Rgs6	peak_826 (+172636)
Rgs7	peak_331 (+146960)
Rhobtb1	peak_455 (+23288), peak_456 (+57295)
Rhobtb3	peak_1007 (-10245)
Rhoh	peak_2772 (+50338)
Rhou	peak_3460 (+75617)
Rhox3e	peak_3656 (-3406)
Rhox9	peak_3658 (-75733), peak_3657 (-7553)
Rictor	peak_1250 (-53802)
Rims1	peak_58 (-68348)
Riox2	peak_1464 (-14145)
Ripk2	peak_2376 (-647082), peak_2375 (-381406)
Rit2	peak_1720 (+36174)
Rlf	peak_2612 (-39925)
Rnd3	peak_1938 (+122975), peak_1937 (+378588)
Rnf133	peak_2976 (+139406)
Rnf141	peak_3252 (+34622)
Rnf146	peak_389 (-78906)
Rnf148	peak_2977 (-20158)
Rnf149	peak_90 (-20779)
Rnf150	peak_3415 (-44352)
Rnf2	peak_299 (-11384)
Rnf217	peak_391 (-64252)
Rnf220	peak_2610 (+69207)
Rnf32	peak_2717 (-133534)
Rnf34	peak_2896 (+31798)
Rnf8	peak_1592 (-14784)
Rnft1	peak_674 (-16156)
Rnls	peak_1830 (+106499)
Rnpc3	peak_2280 (-39587)
Robo1	peak_1498 (-66732), peak_1499 (-39458), peak_1500 (+691365)
Robo2	peak_1502 (+205148), peak_1501 (+673828)
Ror1	peak_2571 (-73503)
Rorb	peak_1814 (-240361)
Rpe65	peak_2335 (+55105), peak_2336 (+76020)
Rpf2	peak_407 (+34233)
Rpia	peak_3049 (+267824), peak_3048 (+302550), peak_3047 (+839754), peak_3046 (+989023)
Rpl10-ps3	peak_3539 (+60998)
Rpl12	peak_1913 (-21520)
Rpl13a-ps1	peak_1854 (+507228), peak_1853 (+570547), peak_1852 (+690010), peak_1851 (+853819)
Rpl31	peak_89 (-21842)
Rpl34	peak_2299 (-43832)
Rpl37a	peak_159 (+28148), peak_160 (+53936)
Rpl38	peak_707 (-49503), peak_708 (-40043)
Rpl7a-ps3	peak_1296 (-72139)
Rplp1	peak_3553 (+160641)
Rpp14	peak_1089 (+7628)
Rprm	peak_1946 (-173106), peak_1945 (+20609), peak_1944 (+45622), peak_1943 (+94204), peak_1942 (+159278)
Rps12	peak_383 (+155865)
Rps17	peak_3216 (+23738)
Rps24	peak_1122 (+436119)
Rps29	peak_810 (+717955), peak_809 (+752616)
Rps3a1	peak_2243 (-17511)
Rps6ka3	peak_3825 (-385962)
Rpusd3	peak_3104 (+6486)
Rras2	peak_3254 (+83847)
Rrs1	peak_21 (-75672)
Rsg1	peak_2640 (+6353)
Rsl24d1	peak_3565 (+62001), peak_3566 (+123101)
Rspo2	peak_1305 (+29324)
Rspo3	peak_390 (-238000)
Rsrc1	peak_2210 (+176747)
Rtl1	peak_862 (-149582), peak_861 (-12888)
Rtn4rl1	peak_660 (+11379), peak_661 (+25865), peak_662 (+53221)
Rttn	peak_1793 (-25683)
Rundc3b	peak_2671 (+71503)
Runx1t1	peak_2367 (-318847), peak_2368 (+179153), peak_2369 (+297164)
Runx2	peak_1619 (-212238)
Rusc2	peak_2439 (+10501)
Rxfp2	peak_2929 (-12791)
Rxra	peak_1903 (+97277)
Rybp	peak_3077 (+124141)
Ryk	peak_3601 (+6123)
Ryr3	peak_2017 (-104370)
S1pr1	peak_2282 (+272649)
S1pr2	peak_3498 (+9365)
Sall3	peak_1783 (-219287)
Samd9l	peak_2931 (+119274)
Samsn1	peak_1506 (-88156)
Samt2	peak_3818 (-134803)
Satb1	peak_1623 (-263329)
Satb2	peak_128 (-99075)
Saxo1	peak_2539 (+89197)
Saysd1	peak_1114 (-36939)
Sbk1	peak_3265 (-34449)
Sbspon	peak_37 (-42012), peak_36 (+9325)
Scaf11	peak_1380 (-87644)
Scamp1	peak_1044 (+60741)
Scand1	peak_2057 (-50472)
Scaper	peak_3548 (+90770)
Scg2	peak_169 (+59089)
Scgb1b27	peak_3193 (+26515)
Scgb2b26	peak_3192 (+40778)
Scgn	peak_920 (-36887)
Scml4	peak_412 (+102190)
Scn1a	peak_1964 (-19796)
Scn3b	peak_3527 (-15049)
Scn7a	peak_1965 (-221560)
Scn8a	peak_1386 (-25174)
Scrg1	peak_3356 (-58748)
Scrt2	peak_2052 (-24181)
Scube3	peak_1590 (+13360)
Sdc2	peak_1290 (-289609)
Sdhaf3	peak_2939 (+34261)
Sdk2	peak_706 (-127828)
Sdr16c6	peak_2337 (+28437)
Sec14l5	peak_1390 (+18584)
Sec23a	peak_795 (+153261), peak_794 (+242111)
Sec61g	peak_577 (-7066), peak_576 (+122700)
Selenon	peak_2628 (+6967)
Sem1	peak_2938 (+88754)
Sema3c	peak_2693 (+34709)
Sema3d	peak_2680 (+355374)
Sema3e	peak_2683 (+155427)
Sema4d	peak_964 (+21824)
Sema4f	peak_3063 (+25932), peak_3062 (+76856)
Sema5a	peak_1289 (+151370)
Sema5b	peak_1422 (+72344), peak_1423 (+109570)
Sema6a	peak_1742 (-168810), peak_1741 (+38113)
Sema6d	peak_2027 (-730222), peak_2028 (-354850)
Sept7	peak_3506 (-18874)
Sept9	peak_710 (+91718)
Serpina3f	peak_853 (-12714)
Serpinb3d	peak_218 (-36815)
Serpinb6d	peak_932 (+22000)
Serpinb8	peak_219 (+233219), peak_220 (+291732), peak_221 (+336546), peak_222 (+826593)
Sesn3	peak_3489 (-174433)
Sestd1	peak_1979 (-110104)
Setbp1	peak_1780 (-397762)
Setmar	peak_3090 (-113658), peak_3091 (-71460), peak_3092 (-17209)
Sgcd	peak_632 (-414943), peak_631 (-88773)
Sgcz	peak_3326 (-157798)
Sgip1	peak_2578 (-54281)
Sgk1	peak_376 (-24401)
Sgo1	peak_1629 (-57196)
Sgo2b	peak_3374 (+273598)
Sh2d1a	peak_3669 (+258829)
Sh2d4a	peak_3388 (-55507), peak_3389 (+134787), peak_3390 (+222735)
Sh2d4b	peak_1141 (+229360), peak_1140 (+709502)
Sh3gl2	peak_2537 (+207944)
Sh3glb1	peak_2320 (+65982)
Shh	peak_2717 (-595207), peak_2716 (-137031), peak_2715 (-18090), peak_2714 (+19898)
Shisa6	peak_650 (+65182)
Shisa8	peak_1365 (+13371)
Shox2	peak_2209 (+145801), peak_2208 (+311786)
Siah2	peak_2190 (-70099)
Sipa1l2	peak_3461 (-34856)
Sis	peak_2220 (+74209), peak_2219 (+810741)
Skint11	peak_2602 (+55136)
Skint6	peak_2601 (+80446)
Skint8	peak_2599 (+16586)
Skint9	peak_2600 (-80566)
Skor1	peak_3556 (-35499)
Skor2	peak_1776 (-178307), peak_1777 (-69845)
Slain1	peak_1221 (+52109)
Slain2	peak_2788 (+18886)
Slc10a1	peak_824 (-22330)
Slc10a2	peak_3281 (-908721), peak_3280 (-736218), peak_3279 (-136545)
Slc12a2	peak_1750 (-86187)
Slc13a1	peak_2979 (+98622)
Slc15a4	peak_2905 (+38471)
Slc15a5	peak_3136 (+55510)
Slc19a3	peak_176 (+77920)
Slc1a1	peak_1824 (-71044), peak_1825 (-28583)
Slc1a4	peak_589 (-63433)
Slc22a19	peak_1802 (+30551), peak_1801 (+42770)
Slc22a23	peak_934 (-125710)
Slc22a8	peak_1803 (-62698)
Slc24a2	peak_2542 (-386612), peak_2541 (-275449)
Slc25a13	peak_2937 (+33482), peak_2936 (+48001)
Slc25a33	peak_2653 (-51441), peak_2652 (-20490)
Slc25a36	peak_3593 (-22414)
Slc26a7	peak_2372 (-58226), peak_2371 (-11034), peak_2370 (+39322)
Slc28a3	peak_975 (+43749)
Slc2a12	peak_377 (-23649)
Slc30a5	peak_1056 (-216072), peak_1055 (-94728)
Slc35b3	peak_941 (-583988), peak_940 (+25042), peak_939 (+70432)
Slc35f1	peak_431 (-41483), peak_432 (+260816)
Slc39a10	peak_112 (-867227), peak_111 (-774592), peak_110 (-327715), peak_109 (-295450), peak_108 (-144493)
Slc39a11	peak_703 (+274539)
Slc43a2	peak_663 (+20343)
Slc45a3	peak_265 (+7259)
Slc48a1	peak_1382 (+18505)
Slc4a10	peak_1958 (-6219), peak_1959 (+129254)
Slc4a3	peak_163 (+765933), peak_164 (+805255), peak_165 (+913508)
Slc4a4	peak_2821 (-11933), peak_2822 (+224882)
Slc4a7	peak_1099 (-81955)
Slc4a8	peak_1385 (+39116)
Slc5a4b	peak_469 (-6946)
Slc5a8	peak_485 (+159624)
Slc6a15	peak_511 (+317090), peak_512 (+342228), peak_513 (+386879)
Slc6a20b	peak_3624 (+12258)
Slc6a21	peak_3203 (-14641)
Slc7a1	peak_2927 (+96254)
Slc7a14	peak_2145 (-231050), peak_2144 (-159640)
Slc8a1	peak_1674 (-66741)
Slc9c1	peak_1439 (-16461), peak_1440 (+36014)
Slco1b2	peak_3140 (-45188)
Slco2a1	peak_3602 (-83604)
Slco3a1	peak_3209 (-190754), peak_3208 (-164852)
Slco6d1	peak_198 (-35864), peak_199 (+230200), peak_200 (+468560)
Slit2	peak_2741 (-819329), peak_2742 (-695560)
Slitrk1	peak_1225 (-431628)
Slitrk2	peak_3702 (+364338)
Slitrk5	peak_1226 (+757892)
Sln	peak_3546 (-20172)
Smad4	peak_1770 (+16122)
Smad6	peak_3557 (+102906)
Smad7	peak_1774 (+143797)
Smap1	peak_59 (-36806)
Smarca1	peak_3674 (+155982)
Smc1b	peak_1372 (+46556)
Smc2	peak_2453 (-607801), peak_2454 (-352228), peak_2455 (-204519)
Smim10l1	peak_3129 (-20487)
Smim15	peak_1070 (+22416)
Smim5	peak_709 (-19831)
Smr2	peak_2817 (-40949), peak_2818 (-24904)
Smtnl1	peak_1990 (+10744)
Smyd3	peak_336 (+380972)
Snapc1	peak_816 (-11055)
Snca	peak_3037 (+209297), peak_3036 (+421496), peak_3035 (+569484)
Snd1	peak_2990 (+171848)
Snn	peak_1392 (-14529)
Snrpb2	peak_2042 (-20139)
Sntg1	peak_20 (+58117), peak_19 (+123804), peak_18 (+178319), peak_17 (+241075), peak_16 (+373616)
Sntn	peak_1096 (-30858), peak_1097 (+22768)
Snx11	peak_687 (+17141)
Snx16	peak_2100 (-948040), peak_2099 (-350470)
Snx2	peak_1748 (-155553)
Snx7	peak_2284 (-236070)
Snx9	peak_1547 (+12758)
Socs6	peak_1792 (+24125)
Sorcs1	peak_1859 (-781645), peak_1858 (-436548), peak_1857 (-413773), peak_1856 (+127576), peak_1855 (+252541)
Sorcs3	peak_1846 (+25824), peak_1847 (+309466), peak_1848 (+726591), peak_1849 (+771246), peak_1850 (+864332)
Sord	peak_2025 (-14708)
Sostdc1	peak_748 (-28830), peak_749 (+29120)
Sox10	peak_1360 (-27905)
Sox11	peak_739 (-561110)
Sox14	peak_3597 (-70741)
Sox2	peak_2151 (+145585), peak_2152 (+480999)
Sox30	peak_628 (+33922)
Sox4	peak_927 (-60690)
Sox5	peak_3143 (+428037)
Sox6	peak_3257 (+176121), peak_3256 (+544849)
Sp4	peak_877 (-87125)
Sp5	peak_1970 (-134511)
Spaca7	peak_3290 (-36668)
Spag16	peak_152 (+142233), peak_153 (+381783)
Spata13	peak_1166 (+57229)
Spata16	peak_2138 (+146851), peak_2139 (+220658)
Spata21	peak_2639 (+6910)
Spata31	peak_986 (+56035)
Spata31d1c	peak_987 (-35512)
Speer2	peak_1495 (-29464), peak_1494 (+157700), peak_1493 (+449045), peak_1492 (+567596), peak_1491 (+655075), peak_1490 (+947687), peak_1489 (+965222)
Speer3	peak_2681 (-61356), peak_2682 (+79953)
Speer4b	peak_2713 (+205548)
Speer4c	peak_2686 (-92882)
Speer4f2	peak_2692 (-270413)
Spef2	peak_1255 (+10729)
Spert	peak_1183 (+67178)
Sphkap	peak_177 (-55349)
Spin1	peak_963 (-77872)
Spint1	peak_2023 (+13688)
Spock3	peak_3372 (-296163), peak_3373 (+124244)
Spred2	peak_588 (-48392)
Spry2	peak_1222 (+21281)
Spsb1	peak_2655 (-15017), peak_2654 (+65213)
Spsb4	peak_3592 (-37815)
Srd5a2	peak_1663 (-62302)
Srek1	peak_1062 (+182186), peak_1061 (+191764)
Srfbp1	peak_1746 (-17664)
Srgap1	peak_543 (+102277), peak_542 (+131564)
Srgap3	peak_3103 (-26993), peak_3102 (+117779)
Sri	peak_2668 (+112428)
Srp9	peak_339 (+13037)
Srsf10	peak_2633 (-26679)
Ssr3	peak_2206 (-63593), peak_2205 (-36938)
Sstr1	peak_790 (-269649), peak_791 (-55155), peak_792 (-17687)
Sstr2	peak_704 (-7476)
Ssx2ip	peak_2321 (-79402), peak_2322 (-47909)
St18	peak_9 (+30518)
St3gal1	peak_1347 (-158642)
St6gal2	peak_1631 (-271507), peak_1632 (-67773)
St6galnac5	peak_2327 (-367690), peak_2326 (-103174)
St8sia1	peak_3142 (+67259)
St8sia4	peak_193 (-573452), peak_192 (-115925)
Stab2	peak_481 (+99080)
Stac	peak_3615 (-114978)
Stac2	peak_689 (+10060)
Stard13	peak_2930 (-163665)
Stat1	peak_121 (+47484)
Stat4	peak_120 (+38568)
Steap1	peak_2665 (-473213)
Stim2	peak_2751 (+137488), peak_2752 (+569308)
Stk31	peak_3020 (+138234)
Stmn2	peak_2095 (-379923), peak_2096 (-56961), peak_2097 (-46753)
Ston1	peak_1681 (-38440), peak_1682 (-22578)
Stox2	peak_3342 (+96397), peak_3341 (+143912)
Stpg2	peak_2313 (+325468), peak_2314 (+358698), peak_2315 (+951178)
Stx17	peak_2443 (+44091)
Stxbp5	peak_360 (-183921)
Stxbp6	peak_770 (-121536), peak_769 (+337060)
Suclg2	peak_3071 (-122499), peak_3070 (-81955)
Sucnr1	peak_2196 (+156027)
Sugct	peak_912 (+335991), peak_911 (+754957)
Sulf1	peak_28 (-23677)
Sult1c1	peak_1630 (-59391)
Sult2a1	peak_3170 (-59993)
Sult2a2	peak_3169 (-26801)
Sult2a3	peak_3171 (+66038)
Sult2a8	peak_3172 (+42530)
Sult3a2	peak_395 (-35014)
Susd1	peak_2468 (+95753)
Susd4	peak_341 (+50677)
Sva	peak_3007 (+11128)
Svop	peak_2876 (+39385)
Svs1	peak_3019 (+21711)
Swap70	peak_3251 (-40452)
Sycp1	peak_2266 (+49071), peak_2265 (+69791)
Syf2	peak_2632 (+37313)
Synj2	peak_1548 (-29767)
Synpo2	peak_2289 (+41467)
Synpr	peak_1095 (-167548)
Syt14	peak_352 (-34218)
Syt16	peak_817 (+55602)
Sytl5	peak_3628 (+39833), peak_3629 (+80424)
Tab3	peak_3732 (-62714), peak_3733 (+93448)
Tac1	peak_2940 (-160269), peak_2941 (-67043), peak_2942 (+58825)
Tacr2	peak_442 (+33710)
Tacr3	peak_2306 (-13896)
Tacstd2	peak_3043 (-826309)
Tanc2	peak_693 (+121840)
Tas2r114	peak_3128 (-166901)
Tas2r119	peak_1288 (-230698)
Tas2r134	peak_1939 (-143994)
Tbc1d1	peak_2771 (+189612)
Tbca	peak_1045 (-106990)
Tbl1xr1	peak_2127 (+79912), peak_2128 (+200280), peak_2129 (+383832), peak_2130 (+436900), peak_2131 (+856152)
Tbr1	peak_1957 (+48687)
Tbx15	peak_2259 (+110871)
Tbx18	peak_3586 (-83967)
Tbx22	peak_3761 (+69625)
Tbx3	peak_2887 (-268348), peak_2888 (-107056)
Tcf21	peak_379 (-39187), peak_378 (+16157)
Tcf7l1	peak_3050 (+53468)
Tcf7l2	peak_1864 (-152767), peak_1865 (-102499), peak_1866 (+65880)
Tchh	peak_2250 (-8923)
Tcp11	peak_1589 (+11622)
Tcstv3	peak_1088 (-26691)
Tead4	peak_3124 (-12744)
Tec	peak_2787 (+59659)
Tecrl	peak_2812 (-428292), peak_2811 (+240194), peak_2810 (+448258), peak_2809 (+701154)
Tenm1	peak_3671 (-493126), peak_3670 (-41400)
Tenm2	peak_617 (-777131)
Tenm3	peak_3344 (-932526)
Tenm4	peak_3233 (-802633), peak_3234 (-12882)
Terf1	peak_35 (-44262)
Tesk2	peak_2607 (+11023)
Tespa1	peak_556 (-20007)
Tet2	peak_2303 (-316286), peak_2302 (-35361)
Tex13c3	peak_3644 (-170425), peak_3643 (+288105)
Tex16	peak_3770 (+57903)
Tex47	peak_2666 (-561937), peak_2667 (-218652)
Tfap2a	peak_944 (+107401), peak_943 (+146334)
Tfap2b	peak_48 (+163343), peak_49 (+190178), peak_50 (+241183), peak_51 (+590483)
Tfap2c	peak_2080 (+84389), peak_2081 (+158730)
Tfap2d	peak_46 (-230559), peak_47 (+29211)
Tfcp2l1	peak_248 (-39343), peak_249 (+197425)
Tfec	peak_2965 (+296402), peak_2964 (+507328), peak_2963 (+538470)
Tgfb2	peak_345 (+107157)
Tgif2lx1	peak_3779 (-461421)
Tgm3	peak_2033 (-64370)
Tgm6	peak_2034 (+21494)
Thbs2	peak_1557 (-112269), peak_1556 (+107198)
Theg	peak_475 (+8043)
Them4	peak_2254 (-20761)
Themis2	peak_2626 (+10404)
Thoc2	peak_3668 (+134798)
Thoc3	peak_970 (-13173)
Thpo	peak_1404 (-187403)
Thsd7a	peak_2957 (-119802), peak_2956 (+128794)
Thsd7b	peak_260 (+64073), peak_261 (+163150)
Thumpd2	peak_1673 (-180314)
Tiam1	peak_1531 (+70365)
Timd4	peak_630 (+100419)
Timm21	peak_1788 (-373839), peak_1787 (-50399)
Timp3	peak_479 (-65750)
Tle1	peak_2500 (-202564), peak_2499 (+120319)
Tle4	peak_1809 (-435994), peak_1808 (-44579)
Tlr3	peak_3340 (-17783)
Tlr4	peak_2482 (-189447), peak_2483 (-145488), peak_2484 (-109348), peak_2485 (-52467), peak_2486 (+405864)
Tlr5	peak_342 (+132485)
Tlx1	peak_1843 (+40888)
Tm4sf1	peak_2187 (-25979)
Tmc7	peak_3260 (+9144)
Tmcc1	peak_3109 (+19790)
Tmcc2	peak_266 (+30867)
Tmcc3	peak_491 (-88071)
Tmco5	peak_2020 (-284372)
Tmeff2	peak_117 (-992742), peak_118 (-597541)
Tmem108	peak_3603 (-31760)
Tmem115	peak_3612 (-60830)
Tmem117	peak_1379 (+19815)
Tmem126b	peak_3228 (-246929)
Tmem132b	peak_2902 (-26542)
Tmem132c	peak_2903 (-152485), peak_2904 (+36102)
Tmem132d	peak_2907 (-67181)
Tmem14a	peak_56 (-16318)
Tmem150c	peak_2843 (+29515)
Tmem161b	peak_1029 (+218906), peak_1030 (+267868)
Tmem164	peak_3805 (-48982), peak_3806 (+33467)
Tmem167	peak_1038 (-46490)
Tmem168	peak_2958 (+35844)
Tmem17	peak_592 (+134987)
Tmem18	peak_740 (+102180)
Tmem2	peak_1817 (+151676)
Tmem200a	peak_384 (+135824)
Tmem211	peak_2872 (-32738)
Tmem229a	peak_2984 (-155714), peak_2983 (-136865), peak_2982 (-120671)
Tmem232	peak_1653 (+209605)
Tmem236	peak_1884 (-49070)
Tmem261	peak_2510 (-653371), peak_2509 (-233050)
Tmem38b	peak_2457 (+394722), peak_2458 (+417711)
Tmem39a	peak_1428 (+41035)
Tmem40	peak_3107 (+33819)
Tmem41a	peak_1407 (+25601)
Tmem45a	peak_1458 (-54757)
Tmem47	peak_3724 (-315461), peak_3725 (-180718), peak_3726 (-103885)
Tmem5	peak_544 (-16343)
Tmem51	peak_2644 (-76184), peak_2643 (+26619)
Tmem72	peak_3112 (-209633), peak_3111 (-166703)
Tmem74	peak_1307 (-146963)
Tmpo	peak_488 (-160999), peak_487 (-86599)
Tmprss11c	peak_2815 (-29149)
Tmprss11f	peak_2816 (+38179)
Tmprss15	peak_1513 (-644083), peak_1512 (-570248)
Tmtc4	peak_1240 (-83794)
Tmx1	peak_812 (+87047)
Tmx3	peak_1796 (-239255), peak_1797 (-136210), peak_1798 (-97732), peak_1799 (-79358)
Tnc	peak_2476 (-379834), peak_2475 (-246756)
Tnfaip8	peak_1743 (+29609)
Tnfsf11	peak_1188 (+99470)
Tnn	peak_308 (+7604)
Tnp1	peak_162 (-308396)
Tnxb	peak_1598 (+15180)
Tob1	peak_681 (-35501)
Toe1	peak_2608 (+25859)
Tor1aip1	peak_303 (-75570)
Tox	peak_2346 (-364520), peak_2345 (-288699)
Tpbg	peak_3585 (+56246)
Tph2	peak_533 (-27178), peak_532 (+149094)
Tpk1	peak_3009 (-77950), peak_3008 (+40262)
Tpm1	peak_3561 (-177947)
Tpm3-rs7	peak_1227 (+271435), peak_1228 (+485023)
Tprg	peak_1410 (-95784)
Tpt1	peak_1184 (+10096)
Tpte	peak_3303 (+12599)
Trak2	peak_130 (+14606)
Tram1l1	peak_2290 (-280750)
Trappc2	peak_3835 (-23907)
Trem1	peak_1622 (-10454)
Trhde	peak_531 (+265649), peak_530 (+269098)
Trhr	peak_1308 (-109092)
Trib2	peak_732 (+393376), peak_731 (+438533), peak_730 (+790798)
Trim3	peak_3245 (+14934)
Trim30a	peak_3240 (-12887)
Trim32	peak_2478 (+218321), peak_2479 (+385715)
Trim42	peak_3594 (+38924)
Trim52	peak_1223 (+11508)
Triml1	peak_3334 (+135353)
Triqk	peak_2364 (-193530), peak_2365 (+53015), peak_2366 (+218322)
Trove2	peak_287 (+6219)
Trp53bp2	peak_340 (+52741)
Trp63	peak_1411 (-118066)
Trpa1	peak_34 (-164990)
Trpc4	peak_2181 (-27048)
Trpc6	peak_3477 (-166505)
Trpc7	peak_974 (-476948), peak_973 (-312449), peak_972 (-88157)
Trpd52l3	peak_1826 (-6850)
Trpm8	peak_183 (+21801)
Trps1	peak_1323 (-148109), peak_1322 (+405789), peak_1321 (+444790), peak_1320 (+919543)
Trub1	peak_1868 (-34946)
Tsc2	peak_1583 (+11762)
Tsc22d2	peak_2188 (-228153), peak_2189 (-136471)
Tsen15	peak_300 (+144544)
Tsen2	peak_3106 (-44696)
Tshz3	peak_3195 (+345465)
Tspan5	peak_2312 (+155084)
Tspan7	peak_3630 (+39886)
Tspyl5	peak_1292 (-179986), peak_1291 (+74937)
Ttc14	peak_2150 (-200471)
Ttc17	peak_2000 (+102287)
Ttc21b	peak_1963 (-49859)
Ttc39b	peak_2532 (+112713)
Ttc8	peak_847 (+8967)
Ttll1	peak_1369 (+20637)
Ttll7	peak_2323 (+72491), peak_2324 (+453756)
Ttll8	peak_1373 (+39807)
Tuba3b	peak_3147 (+26494)
Tubb2b	peak_933 (-9843)
Tusc1	peak_2563 (-368001), peak_2562 (-358038), peak_2561 (+349602), peak_2560 (+524443)
Txndc8	peak_2466 (-9096)
Tyr	peak_3223 (+78272), peak_3222 (+116945)
Tyrp1	peak_2519 (-586934)
Uaca	peak_3552 (+218926)
Ube2dnl1	peak_3774 (-148415)
Ube2dnl2	peak_3775 (+213115), peak_3776 (+235816), peak_3777 (+348689)
Ube2e1	peak_1110 (-190006)
Ube2e3	peak_1981 (-252214)
Ube2g2	peak_472 (+27263)
Ube2v2	peak_1399 (+152341), peak_1398 (+279283)
Ube3c	peak_2718 (+56368)
Uchl5	peak_288 (+84860)
Uck2	peak_324 (+88311)
Ugt1a10	peak_182 (-20156)
Ugt3a2	peak_1254 (+20858)
Ugt8a	peak_2293 (-49842)
Uhrf1bp1l	peak_486 (+219784)
Ulbp1	peak_356 (-18608)
Ulk4	peak_3623 (+16832)
Unc5b	peak_440 (-31890)
Unc5c	peak_2317 (-86772)
Unc5d	peak_3316 (-880916), peak_3315 (-196253), peak_3314 (-140789), peak_3313 (+25479), peak_3312 (+248251), peak_3311 (+689498), peak_3310 (+826382)
Urgcp	peak_560 (+12229)
Usp11	peak_3646 (+58533)
Usp17lb	peak_3242 (+8657)
Usp24	peak_2586 (-139192)
Usp25	peak_1507 (+141061), peak_1508 (+179594)
Usp3	peak_3560 (-46309)
Usp35	peak_3236 (+104399)
Usp38	peak_3413 (-57597)
Usp42	peak_2922 (+43350)
Usp46	peak_2791 (+80666)
Usp47	peak_3253 (-112329)
Usp51	peak_3817 (-32561)
Ust	peak_359 (-61968), peak_358 (+199071), peak_357 (+255210)
Utp18	peak_680 (+90499), peak_679 (+147625)
Utp6	peak_667 (+155573)
Utrn	peak_366 (+48200), peak_365 (+506399)
Uxs1	peak_96 (-27403)
Vcpkmt	peak_811 (+92963)
Vdr	peak_1383 (+31644)
Vgll2	peak_428 (-31189), peak_429 (-23335)
Vgll3	peak_1482 (-63889), peak_1483 (+496546), peak_1484 (+709131)
Vim	peak_1881 (+43573), peak_1882 (+84349)
Vit	peak_1670 (+83680)
Vma21-ps	peak_2456 (-38635)
Vmn1r100	peak_3181 (-18401)
Vmn1r101	peak_3182 (-5795)
Vmn1r15	peak_3029 (+29354)
Vmn1r16	peak_3030 (+19166)
Vmn1r17	peak_3031 (-13469)
Vmn1r173	peak_3184 (-7714)
Vmn1r174	peak_3185 (-7717)
Vmn1r204	peak_917 (-6785)
Vmn1r220	peak_918 (+7870)
Vmn1r226	peak_1574 (+31666)
Vmn1r27	peak_3032 (+42206)
Vmn1r29	peak_3033 (-8992)
Vmn1r38	peak_3042 (+11004)
Vmn1r41	peak_3067 (+21827)
Vmn1r42	peak_3068 (+9676)
Vmn1r62	peak_3154 (+29393), peak_3155 (+48120)
Vmn1r64	peak_3157 (+24956), peak_3156 (+30720)
Vmn1r72	peak_3164 (+34590)
Vmn1r8	peak_3028 (+16841)
Vmn1r82	peak_3165 (-14893)
Vmn1r89	peak_3167 (+13136)
Vmn2r113	peak_1580 (+33209)
Vmn2r114	peak_1582 (+51851)
Vmn2r118	peak_1634 (+30491), peak_1633 (+66073)
Vmn2r12	peak_2865 (-24787)
Vmn2r13	peak_2866 (+31387)
Vmn2r15	peak_2867 (+17824)
Vmn2r19	peak_3120 (+51512)
Vmn2r24	peak_3121 (-16298)
Vmn2r55	peak_3166 (+11756)
Vmn2r57	peak_3200 (+19550)
Vmn2r65	peak_3219 (-17905), peak_3218 (+9479)
Vmn2r66	peak_3220 (-12093)
Vmn2r86	peak_557 (+10949)
Vmn2r89	peak_1157 (-16734)
Vmn2r9	peak_2864 (-50324), peak_2863 (-28185), peak_2862 (-12677)
Vmn2r90	peak_1565 (-17145)
Vmn2r92	peak_1566 (-21192)
Vmn2r96	peak_1567 (-51712), peak_1568 (+26302)
Vmn2r97	peak_1569 (-113717), peak_1570 (-72565), peak_1571 (-11729)
Vmn2r98	peak_1572 (+50151)
Vps13b	peak_1294 (+263711)
Vps13c	peak_3562 (+311519)
Vps33a	peak_2897 (-10018)
Vps37b	peak_2899 (-30619), peak_2898 (-18734)
Vps41	peak_913 (-29176)
Vps50	peak_2932 (+86876)
Vrk1	peak_857 (+52978)
Vrk2	peak_603 (-795467), peak_602 (-768881), peak_601 (-138955), peak_600 (-75948)
Vstm2a	peak_575 (-479555)
Vstm2l	peak_2059 (-18390)
