# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_8	Rp1 (-134105), Sox17 (+1994)
Anti-GFP.mLb.mkD.sorted_peak_44599	Limk1 (+485)
Anti-GFP.mLb.mkD.sorted_peak_44610	Cldn13 (-17055), Cldn4 (+14353)
Anti-GFP.mLb.mkD.sorted_peak_44630	Dnajc30 (-333), Wbscr22 (+797)
Anti-GFP.mLb.mkD.sorted_peak_44644	Fzd9 (+1350), Baz1b (+62616)
Anti-GFP.mLb.mkD.sorted_peak_44651	Trim50 (-3469), Fkbp6 (+217)
Anti-GFP.mLb.mkD.sorted_peak_44653	Nsun5 (+308)
Anti-GFP.mLb.mkD.sorted_peak_44738	Lrwd1 (-4407), Alkbh4 (+4327)
Anti-GFP.mLb.mkD.sorted_peak_44740	Orai2 (-791)
Anti-GFP.mLb.mkD.sorted_peak_44773	Col26a1 (+391)
Anti-GFP.mLb.mkD.sorted_peak_44775	Ift22 (+96)
Anti-GFP.mLb.mkD.sorted_peak_44787	Znhit1 (-370), Plod3 (+583)
Anti-GFP.mLb.mkD.sorted_peak_44798	Serpine1 (-42581), Trim56 (+1367)
Anti-GFP.mLb.mkD.sorted_peak_44803	Ufsp1 (-2833)
Anti-GFP.mLb.mkD.sorted_peak_44818	Zan (-8140), Pop7 (+17221)
Anti-GFP.mLb.mkD.sorted_peak_44825	Gigyf1 (+4866), Epo (+9498)
Anti-GFP.mLb.mkD.sorted_peak_44827	Actl6b (+509)
Anti-GFP.mLb.mkD.sorted_peak_44829	Tfr2 (+5022), Mospd3 (+26182)
Anti-GFP.mLb.mkD.sorted_peak_44835	Pcolce (-9641), Fbxo24 (+3950)
Anti-GFP.mLb.mkD.sorted_peak_44856	Ppp1r35 (+1295), Mepce (+6464)
Anti-GFP.mLb.mkD.sorted_peak_44869	Taf6 (-38), Cnpy4 (+4)
Anti-GFP.mLb.mkD.sorted_peak_44872	Lamtor4 (+300)
Anti-GFP.mLb.mkD.sorted_peak_44875	Lamtor4 (+7705), Gal3st4 (+9567)
Anti-GFP.mLb.mkD.sorted_peak_44876	Gal3st4 (+365)
Anti-GFP.mLb.mkD.sorted_peak_44885	Gm5294 (-1)
Anti-GFP.mLb.mkD.sorted_peak_44890	Pdgfa (-236)
Anti-GFP.mLb.mkD.sorted_peak_44911	Gpr146 (-33414), Cyp2w1 (+3754)
Anti-GFP.mLb.mkD.sorted_peak_44917	C130050O18Rik (-13755), Gpr146 (+1740)
Anti-GFP.mLb.mkD.sorted_peak_44924	Uncx (+921)
Anti-GFP.mLb.mkD.sorted_peak_44947	Tmem184a (+6203), Mafk (+10566)
Anti-GFP.mLb.mkD.sorted_peak_44951	Elfn1 (+2622), Mad1l1 (+410987)
Anti-GFP.mLb.mkD.sorted_peak_44997	Gna12 (+303)
Anti-GFP.mLb.mkD.sorted_peak_45014	Foxk1 (+16)
Anti-GFP.mLb.mkD.sorted_peak_45023	Ap5z1 (+161)
Anti-GFP.mLb.mkD.sorted_peak_45037	Mmd2 (+35)
Anti-GFP.mLb.mkD.sorted_peak_45093	Zfp12 (+347)
Anti-GFP.mLb.mkD.sorted_peak_45100	Zdhhc4 (+717)
Anti-GFP.mLb.mkD.sorted_peak_45103	Kdelr2 (-39793), Grid2ip (+6707)
Anti-GFP.mLb.mkD.sorted_peak_45104	Kdelr2 (-33464), Grid2ip (+13036)
Anti-GFP.mLb.mkD.sorted_peak_45110	Kdelr2 (-43)
Anti-GFP.mLb.mkD.sorted_peak_45116	Rac1 (-55)
Anti-GFP.mLb.mkD.sorted_peak_45123	Usp42 (+794)
Anti-GFP.mLb.mkD.sorted_peak_45137	Bhlha15 (+604)
Anti-GFP.mLb.mkD.sorted_peak_45142	Tecpr1 (-700)
Anti-GFP.mLb.mkD.sorted_peak_45160	Tmem130 (+43)
Anti-GFP.mLb.mkD.sorted_peak_45175	Arpc1b (+661)
Anti-GFP.mLb.mkD.sorted_peak_45193	Rnf6 (-9)
Anti-GFP.mLb.mkD.sorted_peak_45194	Cdk8 (+155)
Anti-GFP.mLb.mkD.sorted_peak_45252	Polr1d (-1710), Lnx2 (+1246)
Anti-GFP.mLb.mkD.sorted_peak_45272	Cdx2 (+1251), Pdx1 (+36060)
Anti-GFP.mLb.mkD.sorted_peak_45281	Pan3 (+461)
Anti-GFP.mLb.mkD.sorted_peak_45320	Slc7a1 (+135056), Mtus2 (+307528)
Anti-GFP.mLb.mkD.sorted_peak_45372	Katnal1 (-564)
Anti-GFP.mLb.mkD.sorted_peak_45416	Medag (+221)
Anti-GFP.mLb.mkD.sorted_peak_45440	Rxfp2 (-339142), B3glct (+1303)
Anti-GFP.mLb.mkD.sorted_peak_45454	Fry (-125)
Anti-GFP.mLb.mkD.sorted_peak_45461	N4bp2l1 (+570)
Anti-GFP.mLb.mkD.sorted_peak_45478	Stard13 (+131)
Anti-GFP.mLb.mkD.sorted_peak_45499	Calcr (+590)
Anti-GFP.mLb.mkD.sorted_peak_45500	Tfpi2 (+229)
Anti-GFP.mLb.mkD.sorted_peak_45507	Col1a2 (-45)
Anti-GFP.mLb.mkD.sorted_peak_45511	Casd1 (+643)
Anti-GFP.mLb.mkD.sorted_peak_45545	Pon3 (+344)
Anti-GFP.mLb.mkD.sorted_peak_45548	Asb4 (-3035)
Anti-GFP.mLb.mkD.sorted_peak_45560	Dync1i1 (+552)
Anti-GFP.mLb.mkD.sorted_peak_45592	Dlx6 (-907)
Anti-GFP.mLb.mkD.sorted_peak_45594	Dlx5 (+2208), Dlx6 (+16543)
Anti-GFP.mLb.mkD.sorted_peak_45603	Tac1 (+538)
Anti-GFP.mLb.mkD.sorted_peak_45620	Mios (+1040), Rpa3 (+48911)
Anti-GFP.mLb.mkD.sorted_peak_45622	Rpa3 (-155), Umad1 (-100)
Anti-GFP.mLb.mkD.sorted_peak_45626	Glcci1 (+670)
Anti-GFP.mLb.mkD.sorted_peak_45631	Nxph1 (+1448)
Anti-GFP.mLb.mkD.sorted_peak_45671	Tmem106b (+447)
Anti-GFP.mLb.mkD.sorted_peak_45694	Mdfic (+386)
Anti-GFP.mLb.mkD.sorted_peak_45704	Cav2 (+370)
Anti-GFP.mLb.mkD.sorted_peak_45705	Cav1 (+928)
Anti-GFP.mLb.mkD.sorted_peak_45706	Met (+283)
Anti-GFP.mLb.mkD.sorted_peak_45708	Capza2 (+847)
Anti-GFP.mLb.mkD.sorted_peak_45709	St7 (+215)
Anti-GFP.mLb.mkD.sorted_peak_45714	Wnt2 (-490)
Anti-GFP.mLb.mkD.sorted_peak_45716	Asz1 (-144)
Anti-GFP.mLb.mkD.sorted_peak_45717	Cftr (+38)
Anti-GFP.mLb.mkD.sorted_peak_45741	Ing3 (+130)
Anti-GFP.mLb.mkD.sorted_peak_45747	Wnt16 (+547)
Anti-GFP.mLb.mkD.sorted_peak_45751	Ptprz1 (-514287), Fam3c (-5049)
Anti-GFP.mLb.mkD.sorted_peak_45760	Aass (+307)
Anti-GFP.mLb.mkD.sorted_peak_45761	Fezf1 (-1587)
Anti-GFP.mLb.mkD.sorted_peak_45771	Cadps2 (+405)
Anti-GFP.mLb.mkD.sorted_peak_45789	Gpr37 (+927)
Anti-GFP.mLb.mkD.sorted_peak_45802	Grm8 (+172)
Anti-GFP.mLb.mkD.sorted_peak_45807	Grm8 (-126315), Zfp800 (+1051)
Anti-GFP.mLb.mkD.sorted_peak_45809	Zfp800 (-136064), Gcc1 (+23749)
Anti-GFP.mLb.mkD.sorted_peak_45813	Pax4 (-2105)
Anti-GFP.mLb.mkD.sorted_peak_45830	Lep (-158)
Anti-GFP.mLb.mkD.sorted_peak_45841	Prrt4 (-33917), Impdh1 (+2863)
Anti-GFP.mLb.mkD.sorted_peak_45849	Calu (+124)
Anti-GFP.mLb.mkD.sorted_peak_45883	Tspan33 (+701)
Anti-GFP.mLb.mkD.sorted_peak_45886	Smo (+940)
Anti-GFP.mLb.mkD.sorted_peak_45890	Ahcyl2 (+850)
Anti-GFP.mLb.mkD.sorted_peak_45892	Strip2 (+450)
Anti-GFP.mLb.mkD.sorted_peak_45930	Mest (-1816)
Anti-GFP.mLb.mkD.sorted_peak_45931	Copg2 (+669)
Anti-GFP.mLb.mkD.sorted_peak_45978	Slc35b4 (+189)
Anti-GFP.mLb.mkD.sorted_peak_45998	3110062M04Rik (+779)
Anti-GFP.mLb.mkD.sorted_peak_46032	Chrm2 (+774)
Anti-GFP.mLb.mkD.sorted_peak_46034	Ptn (+185)
Anti-GFP.mLb.mkD.sorted_peak_46041	Creb3l2 (+567)
Anti-GFP.mLb.mkD.sorted_peak_46059	Trim24 (+471)
Anti-GFP.mLb.mkD.sorted_peak_46064	Tmem213 (-136), Atp6v0a4 (+430)
Anti-GFP.mLb.mkD.sorted_peak_46072	Zc3hav1l (-189)
Anti-GFP.mLb.mkD.sorted_peak_46098	Hipk2 (-224)
Anti-GFP.mLb.mkD.sorted_peak_46104	Kdm7a (+718)
Anti-GFP.mLb.mkD.sorted_peak_46145	Dennd2a (-587)
Anti-GFP.mLb.mkD.sorted_peak_46149	Ndufb2 (-332)
Anti-GFP.mLb.mkD.sorted_peak_46169	Ssbp1 (+364)
Anti-GFP.mLb.mkD.sorted_peak_46181	Tas2r144 (-2621)
Anti-GFP.mLb.mkD.sorted_peak_46182	Gstk1 (+491)
Anti-GFP.mLb.mkD.sorted_peak_46186	Zyx (-8)
Anti-GFP.mLb.mkD.sorted_peak_46189	Olfr456 (-51370), Olfr455 (+9003)
Anti-GFP.mLb.mkD.sorted_peak_46192	Tcaf1 (+380)
Anti-GFP.mLb.mkD.sorted_peak_46197	Nobox (+45)
Anti-GFP.mLb.mkD.sorted_peak_46200	Tpk1 (+987)
Anti-GFP.mLb.mkD.sorted_peak_46230	Cul1 (+424)
Anti-GFP.mLb.mkD.sorted_peak_46272	Zfp282 (-40364), Zfp398 (+1176)
Anti-GFP.mLb.mkD.sorted_peak_46273	Zfp212 (-42162), Zfp282 (+1110)
Anti-GFP.mLb.mkD.sorted_peak_46290	Zfp777 (-635)
Anti-GFP.mLb.mkD.sorted_peak_46292	Zfp746 (+458)
Anti-GFP.mLb.mkD.sorted_peak_46318	Gpnmb (+261)
Anti-GFP.mLb.mkD.sorted_peak_46354	Npy (-464)
Anti-GFP.mLb.mkD.sorted_peak_46355	Mpp6 (+595)
Anti-GFP.mLb.mkD.sorted_peak_46357	Dfna5 (+2179), Mpp6 (+151442)
Anti-GFP.mLb.mkD.sorted_peak_46365	Osbpl3 (-8603), Cycs (+187720)
Anti-GFP.mLb.mkD.sorted_peak_46397	Cbx3 (-347), Hnrnpa2b1 (-338)
Anti-GFP.mLb.mkD.sorted_peak_46432	Hoxa2 (-4546)
Anti-GFP.mLb.mkD.sorted_peak_46438	Hoxa6 (-4613), Hoxa3 (-220)
Anti-GFP.mLb.mkD.sorted_peak_46442	Hoxa11 (+592)
Anti-GFP.mLb.mkD.sorted_peak_46454	Evx1 (+2375), Hibadh (+324516)
Anti-GFP.mLb.mkD.sorted_peak_46471	Tril (+1070), Creb5 (+532490)
Anti-GFP.mLb.mkD.sorted_peak_46474	Prr15 (-286145), Chn2 (+1165)
Anti-GFP.mLb.mkD.sorted_peak_46476	Wipf3 (-101612), Prr15 (+1108)
Anti-GFP.mLb.mkD.sorted_peak_46482	Mturn (+294)
Anti-GFP.mLb.mkD.sorted_peak_46497	Crhr2 (+15289), Gars (+79664)
Anti-GFP.mLb.mkD.sorted_peak_46500	Neurod6 (+4432), Adcyap1r1 (+224853)
Anti-GFP.mLb.mkD.sorted_peak_46505	Pde1c (+135)
Anti-GFP.mLb.mkD.sorted_peak_46515	Vmn1r4 (-402), Nt5c3 (+312)
Anti-GFP.mLb.mkD.sorted_peak_46535	Herc3 (-1785)
Anti-GFP.mLb.mkD.sorted_peak_46542	Gprin3 (-162)
Anti-GFP.mLb.mkD.sorted_peak_46558	Grid2 (+744)
Anti-GFP.mLb.mkD.sorted_peak_46562	Atoh1 (+739)
Anti-GFP.mLb.mkD.sorted_peak_46575	C130060K24Rik (+223)
Anti-GFP.mLb.mkD.sorted_peak_46577	Ndnf (+292)
Anti-GFP.mLb.mkD.sorted_peak_46603	Il12rb2 (+254)
Anti-GFP.mLb.mkD.sorted_peak_46607	Tacstd2 (+225)
Anti-GFP.mLb.mkD.sorted_peak_46639	Rmnd5a (+212)
Anti-GFP.mLb.mkD.sorted_peak_46656	Vamp5 (+376)
Anti-GFP.mLb.mkD.sorted_peak_46705	Lrrtm1 (+1143), Ctnna2 (+735710)
Anti-GFP.mLb.mkD.sorted_peak_46721	Gcfc2 (+291)
Anti-GFP.mLb.mkD.sorted_peak_46731	Tacr1 (+72)
Anti-GFP.mLb.mkD.sorted_peak_46747	Aup1 (-4886)
Anti-GFP.mLb.mkD.sorted_peak_46749	Tlx2 (+184)
Anti-GFP.mLb.mkD.sorted_peak_46750	Pcgf1 (-297)
Anti-GFP.mLb.mkD.sorted_peak_46756	Wbp1 (-1060)
Anti-GFP.mLb.mkD.sorted_peak_46762	Slc4a5 (-46605), Dctn1 (+11184)
Anti-GFP.mLb.mkD.sorted_peak_46772	Tet3 (+573)
Anti-GFP.mLb.mkD.sorted_peak_46780	Atp6v1b1 (-29082), Vax2 (+2644)
Anti-GFP.mLb.mkD.sorted_peak_46781	Atp6v1b1 (-5054), Vax2 (+26672)
Anti-GFP.mLb.mkD.sorted_peak_46782	Ankrd53 (+409)
Anti-GFP.mLb.mkD.sorted_peak_46783	Tex261 (+4292), Ankrd53 (+8877)
Anti-GFP.mLb.mkD.sorted_peak_46785	Nagk (-146)
Anti-GFP.mLb.mkD.sorted_peak_46786	Paip2b (+759)
Anti-GFP.mLb.mkD.sorted_peak_46799	Cyp26b1 (+1778), Dysf (+567471)
Anti-GFP.mLb.mkD.sorted_peak_46817	Sfxn5 (+345)
Anti-GFP.mLb.mkD.sorted_peak_46822	Noto (+175)
Anti-GFP.mLb.mkD.sorted_peak_46827	Fbxo41 (-9510), Egr4 (+1193)
Anti-GFP.mLb.mkD.sorted_peak_46834	Figla (+270)
Anti-GFP.mLb.mkD.sorted_peak_46840	Pcyox1 (+159)
Anti-GFP.mLb.mkD.sorted_peak_46854	Asprv1 (-3860)
Anti-GFP.mLb.mkD.sorted_peak_46856	Mxd1 (+297)
Anti-GFP.mLb.mkD.sorted_peak_46858	Gmcl1 (+259)
Anti-GFP.mLb.mkD.sorted_peak_46863	Gfpt1 (-680)
Anti-GFP.mLb.mkD.sorted_peak_46870	Rab43 (-183)
Anti-GFP.mLb.mkD.sorted_peak_46887	Gata2 (+987)
Anti-GFP.mLb.mkD.sorted_peak_46903	Mcm2 (-3767), Tpra1 (+296)
Anti-GFP.mLb.mkD.sorted_peak_46913	Txnrd3 (+245)
Anti-GFP.mLb.mkD.sorted_peak_46921	Zxdc (+638)
Anti-GFP.mLb.mkD.sorted_peak_46926	Aldh1l1 (-353)
Anti-GFP.mLb.mkD.sorted_peak_46930	Iqsec1 (+93688), Slc41a3 (+111710)
Anti-GFP.mLb.mkD.sorted_peak_46938	Fbln2 (+612)
Anti-GFP.mLb.mkD.sorted_peak_46976	Lrig1 (+639)
Anti-GFP.mLb.mkD.sorted_peak_46980	Kbtbd8 (+484)
Anti-GFP.mLb.mkD.sorted_peak_46983	Suclg2 (+558)
Anti-GFP.mLb.mkD.sorted_peak_46987	Fam19a1 (+3813), 1700123L14Rik (+49276)
Anti-GFP.mLb.mkD.sorted_peak_47006	Frmd4b (+223)
Anti-GFP.mLb.mkD.sorted_peak_47020	Foxp1 (-85985), Eif4e3 (+145441)
Anti-GFP.mLb.mkD.sorted_peak_47023	Gpr27 (+50)
Anti-GFP.mLb.mkD.sorted_peak_47024	Prok2 (-156)
Anti-GFP.mLb.mkD.sorted_peak_47066	Chl1 (+774)
Anti-GFP.mLb.mkD.sorted_peak_47074	Cntn4 (+446)
Anti-GFP.mLb.mkD.sorted_peak_47083	Lrrn1 (+344)
Anti-GFP.mLb.mkD.sorted_peak_47093	Sumf1 (+308)
Anti-GFP.mLb.mkD.sorted_peak_47108	Bhlhe40 (-74)
Anti-GFP.mLb.mkD.sorted_peak_47121	Edem1 (+504)
Anti-GFP.mLb.mkD.sorted_peak_47128	Grm7 (+282)
Anti-GFP.mLb.mkD.sorted_peak_47136	Lmcd1 (+456)
Anti-GFP.mLb.mkD.sorted_peak_47142	Oxtr (-82)
Anti-GFP.mLb.mkD.sorted_peak_47164	Lhfpl4 (+938)
Anti-GFP.mLb.mkD.sorted_peak_47166	Cpne9 (+960)
Anti-GFP.mLb.mkD.sorted_peak_47187	Rpusd3 (-13770), Cidec (+2650)
Anti-GFP.mLb.mkD.sorted_peak_47266	Timp4 (-108966), Pparg (-60895)
Anti-GFP.mLb.mkD.sorted_peak_47299	Rho (-165)
Anti-GFP.mLb.mkD.sorted_peak_47303	Plxnd1 (+1508), H1foo (+48559)
Anti-GFP.mLb.mkD.sorted_peak_47307	Tmcc1 (-297)
Anti-GFP.mLb.mkD.sorted_peak_47309	Zfand4 (+179)
Anti-GFP.mLb.mkD.sorted_peak_47311	March8 (-198)
Anti-GFP.mLb.mkD.sorted_peak_47318	Rassf4 (-18)
Anti-GFP.mLb.mkD.sorted_peak_47324	Cxcl12 (+386)
Anti-GFP.mLb.mkD.sorted_peak_47333	Zfp637 (-18)
Anti-GFP.mLb.mkD.sorted_peak_47334	Zfp239 (-310)
Anti-GFP.mLb.mkD.sorted_peak_47420	B4galnt3 (+996)
Anti-GFP.mLb.mkD.sorted_peak_47435	Hdhd5 (-75)
Anti-GFP.mLb.mkD.sorted_peak_47443	Cecr2 (+612)
Anti-GFP.mLb.mkD.sorted_peak_47468	Pex26 (-53589), Mical3 (-48469)
Anti-GFP.mLb.mkD.sorted_peak_47478	Tuba8 (+42)
Anti-GFP.mLb.mkD.sorted_peak_47487	A2m (+108)
Anti-GFP.mLb.mkD.sorted_peak_47496	Phc1 (-1589)
Anti-GFP.mLb.mkD.sorted_peak_47506	Rimklb (+167)
Anti-GFP.mLb.mkD.sorted_peak_47581	Gm45234 (+96), Atn1 (+599)
Anti-GFP.mLb.mkD.sorted_peak_47593	Usp5 (-771), Cdca3 (+567)
Anti-GFP.mLb.mkD.sorted_peak_47594	Gnb3 (-5311), P3h3 (+12166)
Anti-GFP.mLb.mkD.sorted_peak_47616	Acrbp (-133)
Anti-GFP.mLb.mkD.sorted_peak_47637	Vamp1 (+602)
Anti-GFP.mLb.mkD.sorted_peak_47643	Tuba3a (+257)
Anti-GFP.mLb.mkD.sorted_peak_47686	Ano2 (+127)
Anti-GFP.mLb.mkD.sorted_peak_47687	Ano2 (+20950), Ntf3 (+455346)
Anti-GFP.mLb.mkD.sorted_peak_47689	Ntf3 (+1245), Ano2 (+475051)
Anti-GFP.mLb.mkD.sorted_peak_47693	Kcna5 (+747)
Anti-GFP.mLb.mkD.sorted_peak_47694	Kcna1 (+391)
Anti-GFP.mLb.mkD.sorted_peak_47696	Kcna1 (-94618), Kcna6 (+1260)
Anti-GFP.mLb.mkD.sorted_peak_47710	Tigar (-5251), Ccnd2 (+36259)
Anti-GFP.mLb.mkD.sorted_peak_47713	Ccnd2 (-1015)
Anti-GFP.mLb.mkD.sorted_peak_47740	Tspan9 (+53177), Tspan11 (+202797)
Anti-GFP.mLb.mkD.sorted_peak_47747	Tspan9 (-86)
Anti-GFP.mLb.mkD.sorted_peak_47768	Nrip2 (-167)
Anti-GFP.mLb.mkD.sorted_peak_47797	Klrb1f (+3037), Clec2e (+51975)
Anti-GFP.mLb.mkD.sorted_peak_47809	Magohb (+884)
Anti-GFP.mLb.mkD.sorted_peak_47823	Smim10l1 (+141)
Anti-GFP.mLb.mkD.sorted_peak_47876	Dusp16 (-201)
Anti-GFP.mLb.mkD.sorted_peak_47878	Crebl2 (-47)
Anti-GFP.mLb.mkD.sorted_peak_47882	Gpr19 (-702)
Anti-GFP.mLb.mkD.sorted_peak_47883	Cdkn1b (-844)
Anti-GFP.mLb.mkD.sorted_peak_47911	Pbp2 (+261)
Anti-GFP.mLb.mkD.sorted_peak_47918	Grin2b (+344)
Anti-GFP.mLb.mkD.sorted_peak_47943	Art4 (+303)
Anti-GFP.mLb.mkD.sorted_peak_47961	Eps8 (+173)
Anti-GFP.mLb.mkD.sorted_peak_47968	Mgst1 (-1060)
Anti-GFP.mLb.mkD.sorted_peak_47970	Lmo3 (+159242), Mgst1 (+281140)
Anti-GFP.mLb.mkD.sorted_peak_47984	Plekha5 (+617)
Anti-GFP.mLb.mkD.sorted_peak_48028	Recql (-640), Golt1b (+506)
Anti-GFP.mLb.mkD.sorted_peak_48029	Spx (+899)
Anti-GFP.mLb.mkD.sorted_peak_48035	Abcc9 (-310)
Anti-GFP.mLb.mkD.sorted_peak_48054	C2cd5 (-410)
Anti-GFP.mLb.mkD.sorted_peak_48077	Sox5 (-1028)
Anti-GFP.mLb.mkD.sorted_peak_48105	Bcat1 (-67333), Lrmp (-5594)
Anti-GFP.mLb.mkD.sorted_peak_48106	Lrmp (-237)
Anti-GFP.mLb.mkD.sorted_peak_48108	Lrmp (+20062), Casc1 (+69169)
Anti-GFP.mLb.mkD.sorted_peak_48115	Kras (+1625), Etfrf1 (+37458)
Anti-GFP.mLb.mkD.sorted_peak_48130	Bhlhe41 (+2017), Rassf8 (+116793)
Anti-GFP.mLb.mkD.sorted_peak_48131	Sspn (+195)
Anti-GFP.mLb.mkD.sorted_peak_48136	Ints13 (-421), Fgfr1op2 (+397)
Anti-GFP.mLb.mkD.sorted_peak_48141	Med21 (+360)
Anti-GFP.mLb.mkD.sorted_peak_48144	Stk38l (+871)
Anti-GFP.mLb.mkD.sorted_peak_48147	Smco2 (-46188), Arntl2 (+7851)
Anti-GFP.mLb.mkD.sorted_peak_48150	Ppfibp1 (+308)
Anti-GFP.mLb.mkD.sorted_peak_48153	Mrps35 (+353)
Anti-GFP.mLb.mkD.sorted_peak_48160	Pthlh (+533)
Anti-GFP.mLb.mkD.sorted_peak_48163	Far2 (+146)
Anti-GFP.mLb.mkD.sorted_peak_48173	Ipo8 (+420)
Anti-GFP.mLb.mkD.sorted_peak_48174	Caprin2 (+93)
Anti-GFP.mLb.mkD.sorted_peak_48191	Dennd5b (-109)
Anti-GFP.mLb.mkD.sorted_peak_48205	Bicd1 (+157273)
Anti-GFP.mLb.mkD.sorted_peak_48212	AU018091 (-3744)
Anti-GFP.mLb.mkD.sorted_peak_48264	Tarm1 (-108413), Oscar (+5096)
Anti-GFP.mLb.mkD.sorted_peak_48266	Prpf31 (-211), Tfpt (+155)
Anti-GFP.mLb.mkD.sorted_peak_48271	Leng1 (-506)
Anti-GFP.mLb.mkD.sorted_peak_48272	Leng1 (-6240), Tmc4 (+5473)
Anti-GFP.mLb.mkD.sorted_peak_48277	Lilra6 (-142404), Lair1 (+5285)
Anti-GFP.mLb.mkD.sorted_peak_48279	Leng8 (-14120), Ttyh1 (+3344)
Anti-GFP.mLb.mkD.sorted_peak_48290	Rdh13 (+222)
Anti-GFP.mLb.mkD.sorted_peak_48292	Eps8l1 (+6521), Ppp1r12c (+30310)
Anti-GFP.mLb.mkD.sorted_peak_48296	Ppp1r12c (+170)
Anti-GFP.mLb.mkD.sorted_peak_48298	Ppp1r12c (-8583), Tnnt1 (+5741)
Anti-GFP.mLb.mkD.sorted_peak_48308	Syt5 (-585)
Anti-GFP.mLb.mkD.sorted_peak_48315	Hspbp1 (-705)
Anti-GFP.mLb.mkD.sorted_peak_48318	Kmt5c (-259)
Anti-GFP.mLb.mkD.sorted_peak_48320	Cox6b2 (+287)
Anti-GFP.mLb.mkD.sorted_peak_48322	Fam71e2 (+695)
Anti-GFP.mLb.mkD.sorted_peak_48347	Zfp579 (+16)
Anti-GFP.mLb.mkD.sorted_peak_48361	Rasl2-9 (-190)
Anti-GFP.mLb.mkD.sorted_peak_48382	Zscan5b (-117)
Anti-GFP.mLb.mkD.sorted_peak_48393	Zfp583 (-371)
Anti-GFP.mLb.mkD.sorted_peak_48400	Smim17 (-132)
Anti-GFP.mLb.mkD.sorted_peak_48401	Olfr1336 (-15468), Olfr1344 (+2012)
Anti-GFP.mLb.mkD.sorted_peak_48402	Olfr1348 (-6488), Olfr1349 (+7566)
Anti-GFP.mLb.mkD.sorted_peak_48406	Zim1 (-4)
Anti-GFP.mLb.mkD.sorted_peak_48417	Zfp954 (+340)
Anti-GFP.mLb.mkD.sorted_peak_48420	Zfp773 (-126)
Anti-GFP.mLb.mkD.sorted_peak_48464	Zfp446 (+682)
Anti-GFP.mLb.mkD.sorted_peak_48473	Mzf1 (+463)
Anti-GFP.mLb.mkD.sorted_peak_48479	6330408A02Rik (+94)
Anti-GFP.mLb.mkD.sorted_peak_48515	Kptn (+73)
Anti-GFP.mLb.mkD.sorted_peak_48516	Slc8a2 (+628)
Anti-GFP.mLb.mkD.sorted_peak_48524	Dhx34 (-15249), C5ar2 (+5089)
Anti-GFP.mLb.mkD.sorted_peak_48527	C5ar2 (-6308), C5ar1 (+10699)
Anti-GFP.mLb.mkD.sorted_peak_48528	Inafm1 (+232)
Anti-GFP.mLb.mkD.sorted_peak_48529	Inafm1 (-7234), Ccdc9 (+5939)
Anti-GFP.mLb.mkD.sorted_peak_48540	Tmem160 (+221)
Anti-GFP.mLb.mkD.sorted_peak_48543	Npas1 (+2139), Tmem160 (+21862)
Anti-GFP.mLb.mkD.sorted_peak_48546	Arhgap35 (+750)
Anti-GFP.mLb.mkD.sorted_peak_48555	Ap2s1 (-14625), Ceacam9 (+1856)
Anti-GFP.mLb.mkD.sorted_peak_48583	Ptgir (+1066), Calm3 (+16534)
Anti-GFP.mLb.mkD.sorted_peak_48590	Ccdc8 (-10493), Pnmal1 (+22536)
Anti-GFP.mLb.mkD.sorted_peak_48600	Ppp5c (-29717), Hif3a (+4794)
Anti-GFP.mLb.mkD.sorted_peak_48602	Hif3a (-163)
Anti-GFP.mLb.mkD.sorted_peak_48603	Psg16 (+333)
Anti-GFP.mLb.mkD.sorted_peak_48646	Six5 (-7406), Dmpk (+3339)
Anti-GFP.mLb.mkD.sorted_peak_48648	Gm4969 (-754), Fbxo46 (-737)
Anti-GFP.mLb.mkD.sorted_peak_48660	Gpr4 (-3560)
Anti-GFP.mLb.mkD.sorted_peak_48663	Opa3 (-61)
Anti-GFP.mLb.mkD.sorted_peak_48682	Ercc1 (-2840)
Anti-GFP.mLb.mkD.sorted_peak_48688	Ercc2 (-5241), Ppp1r13l (+15553)
Anti-GFP.mLb.mkD.sorted_peak_48693	Klc3 (-2957)
Anti-GFP.mLb.mkD.sorted_peak_48710	Nkpd1 (+2385), Ppp1r37 (+42853)
Anti-GFP.mLb.mkD.sorted_peak_48735	Apoc4 (-9472), Apoc1 (+1687)
Anti-GFP.mLb.mkD.sorted_peak_48764	Bcl3 (-29039), Ceacam16 (+9490)
Anti-GFP.mLb.mkD.sorted_peak_48783	Ceacam20 (-1951)
Anti-GFP.mLb.mkD.sorted_peak_48821	Tescl (+426)
Anti-GFP.mLb.mkD.sorted_peak_48823	Smg9 (-25989), Kcnn4 (+3331)
Anti-GFP.mLb.mkD.sorted_peak_48830	Irgc1 (+12487), Smg9 (+33576)
Anti-GFP.mLb.mkD.sorted_peak_48849	Ethe1 (-1044)
Anti-GFP.mLb.mkD.sorted_peak_48858	Lypd3 (+2078), Tex101 (+33422)
Anti-GFP.mLb.mkD.sorted_peak_48865	Lypd4 (-108), Dmrtc2 (-8)
Anti-GFP.mLb.mkD.sorted_peak_48883	Rabac1 (+723)
Anti-GFP.mLb.mkD.sorted_peak_48886	Rabac1 (-27662), Atp1a3 (+5542)
