# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
1110004E09Rik	peak_1985 (+30812)
Mob3a	peak_584 (+10488)
Mob3b	peak_3188 (-23049)
Mobp	peak_4814 (+18536), peak_4815 (+24590), peak_4816 (+40886)
Mon2	peak_679 (-8301)
Morc1	peak_1888 (+116324)
Morc3	peak_1999 (-26556)
Morn1	peak_3509 (+37094), peak_3510 (+43474)
Morn2	peak_2201 (-9187)
Mpdz	peak_3313 (-465904), peak_3312 (-335839), peak_3311 (+42609), peak_3310 (+179677)
Mphosph6	peak_4563 (-176382)
Mpzl1	peak_368 (-33116), peak_367 (-28916)
Mrc1	peak_2509 (+59573)
Mrc2	peak_878 (+47976)
Mrgprd	peak_4334 (-6397)
Mrln	peak_552 (+18213)
Mrm1	peak_848 (+110900)
Mroh3	peak_310 (-12521)
Mrpl14	peak_2129 (+22453)
Mrpl15	peak_3 (+16578)
Mrpl21	peak_2374 (-123189)
Mrpl23	peak_4329 (+44839)
Mrpl3	peak_4786 (-204826)
Mrpl33	peak_3576 (-42658)
Mrpl36	peak_1315 (+34786)
Mrpl45	peak_869 (-13431)
Mrps24	peak_697 (+7695)
Mrps30	peak_1409 (-135186), peak_1408 (+63693)
Mrps33	peak_3965 (-115801)
Msl3l2	peak_519 (-602103), peak_520 (-75723)
Msr1	peak_4405 (-252115), peak_4404 (-87312)
Msrb3	peak_671 (+47553)
Mtdh	peak_1676 (-196150)
Mthfd1l	peak_416 (-109478), peak_417 (-9011)
Mtif3	peak_3869 (-22326)
Mtor	peak_3483 (+10079)
Mtpap	peak_2230 (+28300)
Mtpn	peak_3961 (-238137), peak_3960 (+93808)
Mtr	peak_1182 (+31056)
Mtrr	peak_1304 (+66847)
Mtus2	peak_3873 (-27503), peak_3874 (+23615)
Muc3a	peak_3856 (+22879)
Mum1	peak_581 (-5888)
Mup10	peak_3254 (-36674)
Mup21	peak_3255 (-15366)
Mup4	peak_3253 (-10710)
Musk	peak_3251 (+106054)
Mvb12b	peak_2559 (-88713)
Myb	peak_448 (+83038)
Mybpc3	peak_2657 (+24979)
Myc	peak_1736 (+536694), peak_1737 (+785538)
Mycbp	peak_3420 (-12674)
Mycbp2	peak_1587 (-67239)
Mycn	peak_948 (+99725)
Myh10	peak_817 (+60605)
Myh13	peak_815 (+43440)
Myh8	peak_814 (-18076)
Myh9	peak_1759 (-20869)
Myl12b	peak_2185 (+19314)
Myl6	peak_685 (+12076)
Myl9	peak_2745 (-12421)
Mylk	peak_1860 (+22458)
Myo15b	peak_907 (-7901)
Myo3a	peak_2525 (-309166), peak_2526 (+110847)
Myo3b	peak_2624 (-8697)
Myo5b	peak_2340 (-14994)
Myo7a	peak_4267 (+40731)
Myom2	peak_4361 (+594621)
Myrip	peak_4817 (-70099)
Mzt1	peak_1578 (+7073)
N4bp1	peak_4507 (-109599)
N6amt1	peak_1972 (-628841), peak_1973 (-242196), peak_1974 (-204856), peak_1975 (-160944)
Naa30	peak_1498 (-29940)
Naaladl2	peak_2853 (-615231), peak_2852 (-466659), peak_2851 (-317312), peak_2850 (-250602), peak_2849 (-185641), peak_2848 (+544696)
Nabp1	peak_132 (+44821)
Naip6	peak_1373 (-62534)
Nap1l3	peak_4988 (+217755)
Nars	peak_2315 (-39801)
Nars2	peak_4264 (-153949)
Nat8l	peak_3580 (+52697)
Nav3	peak_641 (-364315), peak_640 (-224872)
Nbea	peak_2915 (-420598), peak_2914 (-187985), peak_2913 (-25627), peak_2912 (+47349)
Ncam2	peak_1963 (+546958)
Ncbp2	peak_1852 (+21916)
Ncf1	peak_3846 (+12693)
Ncf2	peak_344 (+7909)
Nck2	peak_107 (+108552)
Nckap5	peak_290 (+92478)
Ncoa1	peak_935 (-47187), peak_934 (+46105)
Ncoa2	peak_33 (+114424)
Ndrg1	peak_1742 (-37080)
Ndst1	peak_2309 (+435), peak_2308 (+43194)
Ndst2	peak_1446 (-23476)
Ndst4	peak_3039 (-327965), peak_3040 (-188460)
Ndufa10	peak_214 (+55680)
Ndufa11	peak_2151 (+15766)
Ndufa12	peak_609 (+62976)
Ndufa4	peak_3908 (+158262), peak_3907 (+227510), peak_3906 (+745712)
Ndufs5	peak_3419 (+6753)
Nebl	peak_2515 (+453043), peak_2514 (+633615)
Necab1	peak_3138 (+94394), peak_3137 (+128768)
Nedd1	peak_604 (-86927)
Nedd4l	peak_2316 (-12055), peak_2317 (+196176)
Nefl	peak_1528 (-45116)
Negr1	peak_3091 (-117490), peak_3092 (+405373), peak_3093 (+445127)
Nek3	peak_4371 (+17936)
Nek6	peak_2567 (+9253)
Net1	peak_1163 (+8026)
Neto1	peak_2362 (-568126), peak_2363 (-497215), peak_2364 (-186960)
Neurl1a	peak_2450 (+107969), peak_2451 (+126721)
Nfatc1	peak_2353 (+104184)
Nfatc2	peak_2770 (+149017)
Nfe2l3	peak_3990 (-354768)
Nfib	peak_3318 (+121263), peak_3317 (+159977), peak_3316 (+311571), peak_3315 (+464413), peak_3314 (+494421)
Nfil3	peak_1268 (-88070)
Nfkbia	peak_1025 (+21021)
Nfkbiz	peak_1900 (-10311)
Nfxl1	peak_3651 (+17205)
Ngdn	peak_1510 (+6559)
Ngf	peak_3007 (-33449)
Ngfr	peak_864 (-23656)
Ngly1	peak_1429 (-397294), peak_1430 (-191710), peak_1431 (-138735)
Nhlrc3	peak_2905 (+5450)
Nhsl1	peak_442 (-43764)
Nid1	peak_1185 (+23374)
Nkain3	peak_3159 (-427710), peak_3158 (-31690)
Nkx2-6	peak_1529 (-62022)
Nkx2-9	peak_1027 (+28681)
Nkx3-2	peak_3592 (-17090)
Nkx6-1	peak_3717 (-39412), peak_3716 (+352552)
Nlgn3	peak_4963 (+20214)
Nlrp12	peak_4145 (+12341)
Nlrp1b	peak_824 (-6652)
Nlrp4c	peak_4152 (+36312)
Nlrx1	peak_4677 (-8711)
Nmbr	peak_436 (+627035)
Nmnat3	peak_4772 (-46488)
Nmur2	peak_798 (-162715)
Nnmt	peak_4691 (-43948)
Nnt	peak_1411 (+286171)
Noc4l	peak_3746 (+25195)
Noct	peak_2900 (-260502), peak_2901 (-88584)
Nol11	peak_882 (-103308)
Nol4l	peak_2738 (-31036)
Nos3	peak_3563 (+12913)
Nov	peak_1725 (-68242)
Nova1	peak_1005 (-766705), peak_1004 (+773983), peak_1003 (+856189)
Npas3	peak_1018 (-215192)
Npbwr1	peak_9 (-76000)
Npffr1	peak_531 (-15309)
Nphp3	peak_4784 (+18109)
Nphp4	peak_3501 (+76453)
Npnt	peak_3054 (+121458)
Npsr1	peak_4647 (-413159), peak_4648 (-116095), peak_4649 (+168501)
Nptx1	peak_923 (-24709)
Npvf	peak_3989 (-236438)
Npy	peak_3986 (-206809)
Npy5r	peak_4465 (+84362)
Npy6r	peak_2288 (+19980)
Nr1i2	peak_1868 (+40940), peak_1867 (+51920)
Nr2e3	peak_4711 (-95223), peak_4710 (-32463)
Nr2f1	peak_1329 (-766079), peak_1328 (-746134), peak_1327 (+60352)
Nr2f2	peak_4224 (+167259)
Nr3c2	peak_4490 (-565709), peak_4491 (-488185), peak_4492 (-431430)
Nr4a2	peak_2600 (+168064)
Nr5a2	peak_313 (-389865)
Nrcam	peak_1000 (+154253)
Nrde2	peak_1102 (+21550)
Nrep	peak_2274 (+68671), peak_2273 (+79060)
Nrg3	peak_1478 (-624089), peak_1477 (+930135)
Nrip1	peak_1953 (+80419)
Nrn1	peak_1225 (+70852)
Nrp2	peak_152 (-408640), peak_153 (-42798), peak_154 (+56386), peak_155 (+181848)
Nrsn1	peak_1208 (+27797)
Nrxn3	peak_1085 (+465439)
Nsmaf	peak_3106 (-195195), peak_3105 (-155326)
Nsmce1	peak_4304 (+19094)
Nsun3	peak_1916 (+933587)
Nsun4	peak_3402 (-6263)
Nsun7	peak_3640 (-42400)
Nt5dc3	peak_592 (+17683)
Nt5e	peak_4761 (-191173)
Ntm	peak_4656 (-174517)
Ntn4	peak_607 (+92671)
Ntng1	peak_3021 (+78245)
Ntpcr	peak_4597 (+26850)
Ntrk1	peak_2982 (+11671)
Ntrk2	peak_1283 (+300929)
Ntrk3	peak_4235 (+162420)
Nts	peak_629 (+57029), peak_628 (+166310), peak_627 (+175028)
Nuak1	peak_589 (+285242)
Nubpl	peak_1015 (+18479)
Nudt12	peak_2159 (-554633)
Nup153	peak_1248 (-24304)
Nup35	peak_2641 (+518825), peak_2642 (+673304)
Nus1	peak_515 (+104030)
Nutm2	peak_1262 (+61319)
Nwd2	peak_3631 (-51361)
Nxn	peak_835 (+24867)
Nxph1	peak_3902 (+197115)
Nyap2	peak_193 (-93344), peak_194 (+342726), peak_195 (+421316)
Obox5	peak_4168 (-18774)
Obscn	peak_806 (+11562), peak_805 (+42362)
Odc1	peak_955 (+23633)
Odf1	peak_1687 (+7304)
Ofcc1	peak_1235 (-174371), peak_1234 (+349066)
Oit1	peak_1415 (+20298)
Oit3	peak_524 (-83050)
Olfm1	peak_2534 (+36856)
Olfm4	peak_1555 (+184901), peak_1556 (+355388)
Olfr1090	peak_2652 (-2496)
Olfr1193	peak_2653 (-7312)
Olfr1196	peak_2654 (-6987)
Olfr124	peak_2109 (+11223)
Olfr1271	peak_2656 (-1809)
Olfr1320	peak_4877 (-11608)
Olfr1323	peak_4879 (-63840), peak_4878 (+21083)
Olfr1324	peak_4882 (-123638), peak_4881 (-39952), peak_4880 (+84718)
Olfr1350	peak_4153 (+24907)
Olfr1354	peak_577 (-18428)
Olfr1393	peak_786 (-16621)
Olfr140	peak_2655 (-23809)
Olfr1402	peak_2997 (-67327)
Olfr1419	peak_2385 (-3476)
Olfr1458	peak_2387 (-13093)
Olfr1505	peak_2388 (+315284)
Olfr1507	peak_1506 (-61003)
Olfr156	peak_3210 (+11871)
Olfr16	peak_378 (+20511)
Olfr177	peak_1906 (+12363)
Olfr183	peak_1907 (-17925)
Olfr196	peak_1908 (-7954)
Olfr211	peak_4090 (-8134)
Olfr266	peak_3016 (-96737)
Olfr298	peak_4249 (-11459)
Olfr380	peak_827 (-12378)
Olfr39	peak_4637 (+7199)
Olfr46	peak_4325 (+4357)
Olfr470	peak_4283 (-6714)
Olfr478	peak_4284 (+20161)
Olfr49	peak_1508 (-12047)
Olfr502	peak_4285 (+25207)
Olfr564	peak_4272 (-8586)
Olfr566	peak_4273 (+14020)
Olfr635	peak_4274 (-11993)
Olfr661	peak_4276 (+34771)
Olfr688	peak_4278 (-24729)
Olfr691	peak_4279 (-7879)
Olfr711	peak_4282 (-9645)
Olfr721-ps1	peak_1425 (+21143)
Olfr722	peak_1499 (+16983)
Olfr725	peak_1500 (+31548)
Olfr731	peak_1501 (-7574)
Olfr782	peak_687 (-7699)
Olfr796	peak_688 (+18695)
Olfr8	peak_578 (-10268)
Olfr839-ps1	peak_4635 (+17234)
Olfr855	peak_4636 (+12541)
Olfr875	peak_4665 (+11099)
Olfr924	peak_4667 (-3819)
Olfr93	peak_2108 (-3229)
Olfr933	peak_4668 (-7466)
Olfr952	peak_4669 (-16227)
Olfr957	peak_4670 (-15712)
Olfr981	peak_4671 (+19619)
Olfr982	peak_4672 (-9780)
Olig1	peak_1986 (-21295), peak_1987 (+19859), peak_1988 (+41216)
Oma1	peak_3374 (+65963)
Onecut1	peak_4737 (+47634)
Onecut3	peak_583 (+19444)
Ophn1	peak_4959 (+307195)
Opn1sw	peak_3947 (-7810)
Oprd1	peak_3440 (-21173)
Oprk1	peak_8 (-238004)
Orai1	peak_3810 (+13248)
Orc5	peak_3560 (+77635), peak_3559 (+94268)
Osbp	peak_2386 (+26510)
Osbpl10	peak_4807 (+21636)
Osbpl3	peak_3988 (+37062), peak_3987 (+41153)
Osm	peak_694 (-5857)
Osr1	peak_944 (+109152)
Ostf1	peak_2396 (+186099)
Ostm1	peak_492 (+40600)
Otud4	peak_4497 (-16580)
Otx1	peak_735 (+94450)
Otx2	peak_1497 (-42611), peak_1496 (+76816)
Oxgr1	peak_1605 (-19370)
Oxr1	peak_1693 (-283300), peak_1694 (-273206), peak_1695 (-203011)
Oxtr	peak_4080 (-45417)
P2rx5	peak_826 (+7225)
P3h2	peak_1842 (-22665)
Pabpc1	peak_1681 (-70798)
Pabpc4l	peak_2896 (-835026), peak_2895 (+249567)
Pabpc5	peak_4986 (-417894)
Pabpn1l	peak_4587 (-16533)
Pald1	peak_530 (-11253)
Palmd	peak_3030 (-60978)
Pam	peak_228 (-105690)
Pank3	peak_765 (-69399)
Papolg	peak_739 (+48720), peak_738 (+53455)
Pappa	peak_3263 (-132913)
Pappa2	peak_354 (-63742), peak_353 (+78697)
Pard3b	peak_149 (-124742), peak_150 (-69305), peak_151 (-51486)
Pard6b	peak_2768 (-21177), peak_2769 (+56461)
Park2	peak_2030 (+134320), peak_2031 (+458618)
Parm1	peak_3699 (+169128)
Parp1	peak_390 (-20815)
Parp11	peak_4108 (+60730)
Parp6	peak_4709 (-14090)
Pars2	peak_3382 (-11907)
Pawr	peak_639 (-67120)
Pax1	peak_2729 (-26286), peak_2730 (+105219)
Pax3	peak_188 (-50351)
Pax5	peak_3214 (+181595)
Pax8	peak_2528 (-131975)
Pbp2	peak_4121 (+22426)
Pbx1	peak_377 (-288675), peak_376 (-197923)
Pccb	peak_4777 (-18630), peak_4776 (-8091), peak_4775 (+50262)
Pcdh10	peak_2890 (-977319), peak_2891 (-755847), peak_2892 (-712710), peak_2893 (-520878), peak_2894 (-30338)
Pcdh12	peak_2280 (+15350)
Pcdh15	peak_557 (-527024), peak_558 (-384111), peak_559 (+314243), peak_560 (+421842)
Pcdh18	peak_2899 (-65383), peak_2898 (-45992)
Pcdh19	peak_5004 (+343170), peak_5003 (+556225), peak_5002 (+943622)
Pcdh20	peak_1567 (-142139)
Pcdh7	peak_3619 (+282770), peak_3620 (+688270)
Pcdh9	peak_1574 (-951743)
Pcdhac2	peak_2278 (+34958)
Pclo	peak_3535 (-218461), peak_3536 (-112543)
Pcmtd1	peak_12 (-172431), peak_13 (+89130), peak_14 (+198953), peak_15 (+388065), peak_16 (+754865)
Pcnt	peak_570 (+38253)
Pcnx	peak_1074 (+58586)
Pcsk1	peak_1318 (+82055)
Pcsk2	peak_2723 (-112732), peak_2724 (+85426)
Pcsk5	peak_2395 (-104397)
Pctp	peak_855 (+92491)
Pdc	peak_339 (-86604), peak_340 (+18589)
Pdcd1	peak_221 (-342090), peak_220 (-208217), peak_219 (-175807), peak_218 (-97945), peak_217 (-27784)
Pdcd2	peak_2039 (-17264)
Pdcd4	peak_2478 (-83697)
Pde1c	peak_3996 (+62647)
Pde3a	peak_4128 (-38221)
Pde4d	peak_1393 (-144514), peak_1394 (+142158), peak_1395 (+755738)
Pde6h	peak_4122 (+23217)
Pde7a	peak_2837 (-44422), peak_2836 (-24210)
Pde7b	peak_447 (-101181)
Pdgfb	peak_1764 (+33428)
Pdgfc	peak_2966 (+222640), peak_2967 (+278516), peak_2968 (+331266)
Pdha2	peak_3072 (+485727)
Pdk1	peak_2628 (+40897)
Pdk3	peak_4949 (-24695)
Pdk4	peak_3889 (-29218)
Pdx1	peak_3870 (-27028)
Pdyn	peak_2708 (+11756)
Pdzrn3	peak_4059 (-383691)
Pecam1	peak_881 (+24385)
Penk	peak_3101 (-130366), peak_3100 (-28542)
Pet117	peak_2727 (+47774)
Pet2	peak_4943 (-78222), peak_4942 (+411502), peak_4941 (+574720)
Pex2	peak_2801 (-78468)
Pex3	peak_435 (-52074)
Pex5	peak_4104 (-21938)
Pex5l	peak_2870 (-166897)
Pfdn4	peak_2780 (+17054)
Pfkp	peak_1178 (-482258), peak_1177 (-235564), peak_1176 (-129704), peak_1175 (-86943), peak_1174 (-54383)
Pgf	peak_1081 (-15266)
Pgk2	peak_2116 (-9678), peak_2115 (+81437), peak_2114 (+92086)
Pglyrp3	peak_2988 (-312628)
Phex	peak_5029 (+131912), peak_5028 (+753592)
Phf14	peak_3909 (+44354), peak_3910 (+353169)
Phf19	peak_2560 (+17323)
Phf2	peak_1257 (+22137), peak_1256 (+88086)
Phf21a	peak_2662 (-57333), peak_2663 (-18773)
Phf3	peak_81 (+113146), peak_80 (+142683), peak_79 (+206305), peak_78 (+826261), peak_77 (+876890), peak_76 (+978462)
Phf6	peak_4883 (-13547)
Phip	peak_4755 (-75486)
Phkb	peak_4504 (+107585)
Phlda1	peak_645 (+88556)
Phlpp1	peak_248 (-52108)
Phospho1	peak_866 (-14497)
Phtf1	peak_3011 (+51906)
Phtf2	peak_3556 (+511629), peak_3555 (+754703)
Pi15	peak_43 (-211611)
Pi16	peak_2085 (-10774)
Pias1	peak_4721 (-78400)
Pid1	peak_204 (-167340), peak_203 (-95233), peak_202 (+162455)
Piezo2	peak_2314 (-87943), peak_2313 (-62458)
Pigc	peak_359 (-36912)
Pigg	peak_3736 (-12181)
Pign	peak_247 (+95499)
Pih1d3	peak_82 (+78392), peak_83 (+269435)
Pik3c3	peak_2266 (+520716)
Pik3r1	peak_1377 (-16935)
Pik3r4	peak_4788 (-12931), peak_4789 (+49437)
Pik3r6	peak_816 (-8448)
Pim1	peak_2087 (-17306)
Pin1	peak_4638 (+20122)
Pitpnb	peak_3747 (-112823), peak_3748 (-54118), peak_3749 (-43592)
Pitpnc1	peak_885 (+94139), peak_884 (+100436), peak_883 (+104677)
Pitpnm2	peak_3815 (-35279)
Pitrm1	peak_1173 (-112273)
Pitx2	peak_3046 (-516320)
Piwil1	peak_3831 (+9866)
Pja1	peak_4960 (+37437)
Pja2	peak_2168 (-92268)
Pkd1l2	peak_4562 (+22928)
Pkd2	peak_3728 (+15452)
Pkdcc	peak_2206 (+16193)
Pkhd1	peak_57 (+333029), peak_56 (+618590)
Pkia	peak_2805 (-283808), peak_2806 (-55628)
Pknox1	peak_2095 (-2373)
Pla1a	peak_1869 (+33030)
Plagl1	peak_434 (+37125)
Plau	peak_1447 (+9307)
Plcb4	peak_2715 (-229982), peak_2716 (-38329)
Plch1	peak_2933 (+174431)
Plch2	peak_3508 (+10370)
Plcl1	peak_140 (+76865), peak_141 (+91829)
Plcxd3	peak_1617 (-88986)
Plekha5	peak_4125 (+95403)
Plekha6	peak_306 (-36546), peak_307 (+28226)
Plekhb2	peak_93 (+79832)
Plekhs1	peak_2487 (+13339)
Plet1	peak_4694 (-31329), peak_4695 (+6517)
Plgrkt	peak_2416 (+6098)
Plod2	peak_4763 (+70323), peak_4764 (+743413)
Plpp1	peak_1406 (-24522)
Plpp7	peak_2550 (+14769)
Pls3	peak_4916 (-124373)
Plxdc2	peak_2512 (-247417), peak_2513 (-95050)
Plxna4	peak_3955 (-192312)
Pmaip1	peak_2319 (-43464), peak_2320 (+84031)
Pmfbp1	peak_4544 (-728974), peak_4545 (-641431), peak_4546 (-582913), peak_4547 (-554768)
Pmm2	peak_1810 (-14101)
Pnisr	peak_3161 (-23303)
Pnma1	peak_1078 (-14393)
Pnn	peak_1034 (+14529)
Pnoc	peak_1526 (+20209)
Pnp2	peak_1502 (+22848)
Pnpla5	peak_1774 (-8044)
Pnpt1	peak_753 (-100095)
Poc1b	peak_617 (-32414)
Podxl	peak_3953 (+12307)
Pof1b	peak_4977 (-141659)
Pofut2	peak_574 (+14137)
Pole4	peak_4033 (+41657)
Poll	peak_2446 (+84107)
Polr1e	peak_3215 (+10977)
Pomc	peak_931 (-48918)
Pot1a	peak_3941 (-471266), peak_3940 (-179225)
Poteg	peak_4381 (+113451), peak_4382 (+145067), peak_4383 (+159731), peak_4384 (+584727)
Pou2f2	peak_4186 (+11282), peak_4185 (+16708)
Pou3f2	peak_3167 (-800016), peak_3166 (-625647), peak_3165 (-612920), peak_3164 (-419532), peak_3163 (-282433), peak_3162 (+24930)
Pou3f4	peak_4972 (-721220), peak_4973 (-396831), peak_4974 (-375307)
Pou5f2	peak_1326 (-73755)
Ppara	peak_1778 (-56262)
Ppargc1a	peak_3609 (+698744)
Ppef2	peak_3700 (+37467)
Ppfia2	peak_637 (+65389)
Ppip5k2	peak_227 (-95160)
Ppm1d	peak_849 (-13605)
Ppm1h	peak_678 (-46863)
Ppp1r15b	peak_305 (-24580)
Ppp1r16b	peak_2750 (+30593)
Ppp1r17	peak_3995 (+166394)
Ppp1r3a	peak_3915 (+100708), peak_3914 (+208704)
Ppp1r3b	peak_4395 (-132127)
Ppp1r3f	peak_4823 (+13971)
Ppp2r3a	peak_4778 (-175523)
Ppp2r3c	peak_1024 (-41669), peak_1023 (-8583)
Ppp2r5a	peak_410 (-14024)
Ppp2r5e	peak_1063 (-35229)
Ppp3cc	peak_1533 (-27183)
Ppp4r2	peak_4058 (+174187)
Ppp4r3a	peak_1105 (-21751)
Ppp6c	peak_2571 (-465842), peak_2570 (-418993), peak_2569 (-194542)
Pram1	peak_2100 (+12291)
Prcp	peak_4259 (+41724)
Prdm1	peak_496 (-80208), peak_495 (+17396), peak_494 (+49056)
Prdm13	peak_3160 (+106642)
Prdm16	peak_3507 (+66476), peak_3506 (+118890)
Prelid2	peak_2287 (+76169), peak_2286 (+441186), peak_2285 (+486125)
Prep	peak_497 (-161488), peak_498 (-18694)
Prex1	peak_2765 (+56677), peak_2764 (+114298), peak_2763 (+225380)
Prf1	peak_529 (+12142)
Prim2	peak_90 (+262214), peak_89 (+412882)
Prkaa2	peak_3376 (+46446)
Prkab1	peak_3777 (+26671)
Prkab2	peak_2998 (+93371), peak_2999 (+98941)
Prkag1	peak_1797 (-8647)
Prkcq	peak_2501 (-72357)
Prl2c1	peak_1212 (-18912)
Prl4a1	peak_1213 (-32557)
Prlhr	peak_2493 (+120273)
Prlr	peak_1632 (-185665)
Prmt2	peak_568 (+14930)
Prmt6	peak_3022 (-75075)
Prmt7	peak_4538 (+54671)
Prmt9	peak_4494 (-12813)
Prok2	peak_4053 (-245178)
Proser2	peak_2497 (+11895)
Prox1	peak_407 (-312633), peak_406 (+9423)
Prps1	peak_5008 (-23450), peak_5009 (-10439), peak_5010 (+54243)
Prr16	peak_2298 (-116029)
Prr18	peak_2027 (+44069)
Prr29	peak_880 (-10196)
Prrx2	peak_2541 (+7925)
Prss2	peak_3966 (+21806)
Prss55	peak_1524 (+38704)
Prtg	peak_4734 (+50362)
Psap	peak_525 (-14191)
Psat1	peak_2393 (+584046), peak_2392 (+616401)
Psd3	peak_4466 (+191585)
Psg18	peak_4173 (+24649)
Psg23	peak_4177 (+21104)
Psg26	peak_4176 (+19541)
Psg28	peak_4175 (-21466), peak_4174 (+28728)
Psg29	peak_4170 (+180225)
Psmd7	peak_4541 (-93843)
Psmg1	peak_2008 (+72419), peak_2007 (+84739)
Pstk	peak_4314 (+10274)
Pstpip2	peak_2349 (+27461)
Ptbp2	peak_3034 (-321735), peak_3033 (-200657)
Ptchd4	peak_2120 (-622873), peak_2121 (-401396), peak_2122 (-308674), peak_2123 (-243397)
Pten	peak_2423 (-7664)
Pter	peak_2504 (+21568)
Ptgdr	peak_1486 (+14767)
Ptger2	peak_1487 (+32664)
Ptger4	peak_1620 (-22488)
Ptges	peak_2542 (+22305)
Ptgr2	peak_1079 (-27029)
Pth2r	peak_161 (+106799), peak_162 (+215289)
Ptpn1	peak_2766 (-101305), peak_2767 (-44194)
Ptpn14	peak_403 (-10732)
Ptpn21	peak_1100 (+45467)
Ptpn22	peak_3010 (+25006)
Ptpn4	peak_282 (+93228)
Ptprd	peak_3299 (-994350), peak_3298 (-468579), peak_3297 (-134186)
Ptprg	peak_1419 (+100661)
Ptprh	peak_4147 (-8113)
Ptprk	peak_460 (-33806)
Ptprn2	peak_1154 (+61944), peak_1155 (+77777), peak_1156 (+90943)
Ptprr	peak_655 (+5979)
Ptprt	peak_2755 (+515017)
Ptpru	peak_3439 (+160199), peak_3438 (+353282)
Ptprz1	peak_3929 (-122998)
Ptrhd1	peak_933 (-39346)
Pudp	peak_2297 (-214161)
Pum3	peak_2412 (+27459)
Pwp1	peak_590 (-221421)
Pwwp2a	peak_778 (+22791)
Pxdc1	peak_1223 (+132317)
Qdpr	peak_3600 (+35013)
Qk	peak_2029 (-130979)
Qpct	peak_2199 (+19951)
Qrfp	peak_2548 (+9630)
Qrfpr	peak_2877 (-69312)
Rab11fip1	peak_4380 (+22061)
Rab11fip4	peak_841 (+14119), peak_842 (+99325)
Rab20	peak_4352 (+40362)
Rab22a	peak_2789 (-25952)
Rab28	peak_3591 (+218767)
Rab2a	peak_3113 (-136775), peak_3114 (-92342)
Rab31	peak_2172 (+26065)
Rab35	peak_3771 (-29814), peak_3772 (-20535), peak_3773 (-12334)
Rab36	peak_563 (+6850)
Rab38	peak_4253 (+289179)
Rab3c	peak_1399 (-29962), peak_1398 (+273807), peak_1397 (+364326), peak_1396 (+511619)
Rab3gap2	peak_399 (+43591)
Rab6b	peak_4782 (+35712)
Rab7b	peak_301 (-8450)
Rack1	peak_785 (-77638)
Rad23b	peak_3242 (+48858)
Rad51ap2	peak_946 (+92542)
Rag2	peak_2676 (-721239)
Rai14	peak_1633 (+17799)
Ralbp1	peak_2173 (+10744)
Ralgps2	peak_351 (+17289)
Ralyl	peak_2821 (-562953), peak_2822 (-472415), peak_2823 (-246055), peak_2824 (-211542), peak_2825 (-92053)
Rap1b	peak_661 (-80212)
Rap1gap	peak_3457 (+55651)
Rap2a	peak_1607 (-8286), peak_1608 (+170743)
Rapgef1	peak_2539 (-92077)
Rapgef2	peak_2959 (+178610), peak_2958 (+649963)
Rapgef4	peak_2629 (+23604)
Rarb	peak_1436 (-450082), peak_1435 (-430671), peak_1434 (-398568), peak_1433 (-228079), peak_1432 (-149058)
Rarres1	peak_2940 (-26090)
Rasef	peak_3291 (+39816)
Rasgef1b	peak_3713 (-288412), peak_3712 (-226770)
Rasgrp3	peak_2190 (-36666)
Rasl11b	peak_3657 (-33642)
Rassf3	peak_672 (+8417)
Rassf5	peak_300 (+11838)
Rassf8	peak_4139 (+9317)
Raver2	peak_3367 (-14366)
Rb1cc1	peak_10 (-63015)
Rbfox1	peak_1809 (+79705)
Rbfox2	peak_1757 (-7340)
Rbfox3	peak_921 (+180577)
Rbm15	peak_3017 (-9516)
Rbm19	peak_3795 (+125373), peak_3796 (+153190)
Rbm20	peak_2476 (-23611), peak_2477 (+74448)
Rbm24	peak_1246 (+10604)
Rbm47	peak_3639 (+33308)
Rbms1	peak_2611 (+72385)
Rcan1	peak_1995 (+11932), peak_1994 (+42448)
Rcan2	peak_2125 (+23048)
Rcc1l	peak_3845 (+8337)
Rcor1	peak_1136 (-11005)
Rd3l	peak_1143 (-32105), peak_1142 (-17427)
Reep3	peak_545 (+86596), peak_544 (+101920), peak_543 (+514633), peak_542 (+628052), peak_541 (+675435), peak_540 (+830014)
Rell1	peak_3633 (+15628), peak_3632 (+44173)
Reln	peak_3558 (-20079)
Relt	peak_4269 (+13095)
Rem2	peak_1509 (+16700)
Retnla	peak_1889 (+13200)
Retnlg	peak_1890 (+6003)
Rflna	peak_3819 (+24800), peak_3820 (+77852)
Rfpl4b	peak_480 (-25071), peak_479 (+557169), peak_478 (+596965)
Rfx3	peak_2413 (-182915)
Rfx6	peak_511 (+66200)
Rfx8	peak_101 (-7286)
Rfxap	peak_2911 (+21745), peak_2910 (+25444)
Rgma	peak_4226 (-367817), peak_4227 (-342518), peak_4228 (-65238)
Rgmb	peak_2042 (-584413), peak_2041 (-568399), peak_2040 (-304580)
Rgs1	peak_332 (-71863)
Rgs17	peak_420 (-40981)
Rgs18	peak_333 (-480062)
Rgs2	peak_331 (+32636)
Rgs3	peak_3256 (-25598), peak_3257 (+70961), peak_3258 (+99076)
Rgs6	peak_1075 (+172636)
Rgs7	peak_381 (+146960)
Rhobtb1	peak_549 (+23288), peak_550 (+57295)
Rhobtb3	peak_1319 (-10245)
Rhoh	peak_3637 (+50338)
Rhoq	peak_2214 (+23787)
